name,industry,domain0,company_category
microsoft,computer games,https://www.develop-online.net,scaleup
omaha microsoft technology group,information technology and services,https://www.omahamtg.com,small business
microsoft alumni network ambassadors,non-profit organization management,https://www.,small business
scbn | microsoft certified professional - google partner,internet,https://www.scbn.biz,startup
locatelli mcc - designing domotica (voip) solutions combined with microsoft lync services!,information technology and services,https://www.locatelli-mcc.com,small business
chelford solutions for microsoft,computer software,https://www.,startup
troy consulting / microsoft,computer software,https://www.,small business
microsoft pakistan,information technology and services,https://www.,small business
server and management studios (sams) formerly max at microsoft,online media,https://www.,small business
"global project pros (microsoft partner, ibm business partner)",logistics and supply chain,https://www.domis.rs,startup
microsoft(po from hirepro consulting pvt. ltd.),staffing and recruiting,https://www.hirepro.us,small business
microsoft advanced analytics,computer software,https://www.,scaleup
microsoft innovation center campinas,information technology and services,https://www.,small business
microsoft users group argentina,information technology and services,https://www.mug.org.ar,startup
mbs-training - microsoft dynamics readiness center,professional training & coaching,https://www.learn4nav.com,small business
pohn it-consulting gmbh,information technology and services,https://www.,startup
informo tecnologia microsoft partner,information technology and services,https://www.informo.com.br,startup
microsoft,computer software,https://www.microsoft.com,very large companies
microsoft business user forum e.v.,information technology and services,https://www.,small business
your brand in microsoft office,information technology and services,https://www.ybimo.com,small business
microsoft innovation center - productivity,information technology and services,https://www.productivitycenter.org,startup
forum du laboratoire supinfo des technologies microsoft,information technology and services,https://www.forum-microsoft.org,startup
microsoft  technology sa,accounting,https://www.,startup
microsoft accelerator,computer software,https://www.microsoftaccelerator.com,scaleup
microsoft slovenija,information technology and services,https://www.microsoft.si,startup
microsoft ireland,writing and editing,https://www.googlie.ie,small business
microsoft office 365 sign in,computer software,https://www.microsoftoffice365signin.com,small business
skill enhanced academic solution pvt ltd-microsoft aep,information technology and services,https://www.seasolution.in,small business
technokids inc. | publisher of microsoft office and google apps technology projects,publishing,https://www.technokids.com,scaleup
microsoft schweiz gmbh,computer software,https://www.,startup
"excel and access, llc - local microsoft excel and access services for business 844-ms-excel",computer software,https://www.excelandaccess.com,startup
denver area microsoft access users group,computer software,https://www.daaug.org,small business
